"Display_Row","Drug","Percentage","Cohort","Group","Total_Species","Sig_Count"
"Rothia (MetaCardis)","Sitagliptin",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Torasemide",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Verapamil",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Vildagliptin",0,"MetaCardis","Rothia",2,0
"Rothia (MetaCardis)","Warfarin",0,"MetaCardis","Rothia",2,0
"Veillonella (MetaCardis)","Acarbose",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Allopurinol",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Alogliptin",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Amiodarone",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Amlodipine",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Apixaban",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Aspirin",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Atenolol",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Atorvastatin",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Azilsartan",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Bisoprolol",0.0769230769230769,"MetaCardis","Veillonella",13,1
"Veillonella (MetaCardis)","Carvedilol",0.0769230769230769,"MetaCardis","Veillonella",13,1
"Veillonella (MetaCardis)","Clopidogrel",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Dapagliflozin",0.0769230769230769,"MetaCardis","Veillonella",13,1
"Veillonella (MetaCardis)","Diltiazem",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Enalapril",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Esomeprazole",0.230769230769231,"MetaCardis","Veillonella",13,3
"Veillonella (MetaCardis)","Fenofibrate",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Fluvastatin",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Furosemide",0.0769230769230769,"MetaCardis","Veillonella",13,1
"Veillonella (MetaCardis)","Glibenclamide",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Gliclazide",0.0769230769230769,"MetaCardis","Veillonella",13,1
"Veillonella (MetaCardis)","Indapamide",0,"MetaCardis","Veillonella",13,0
