Taxon,CRC_Unadjusted,CRC_Adjusted,CVD_Unadjusted,CVD_Adjusted,NAFLD_FLD_Unadjusted,NAFLD_FLD_Adjusted,Parkinsons_Unadjusted,Parkinsons_Adjusted,Polyps_Unadjusted,Polyps_Adjusted,T2D_Unadjusted,T2D_Adjusted
Bacteroides_fragilis,0.22222111111666662,0.111110000011111,0.0,0.0,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,0.1666650000166665,0.1666650000166665
Streptococcus_parasanguinis,0.0,0.0,0.49999750001249993,0.49999750001249993,0.0,0.0,0.0,0.0,0.0,0.0,0.3333316666749999,0.3333316666749999
Oxalobacter_formigenes,0.111110000011111,0.111110000011111,-0.24999750002499976,-0.24999750002499976,0.333330000033333,0.333330000033333,0.0,0.0,0.0,0.0,0.0,-0.1666650000166665
Lactobacillus_ruminis,0.0,0.0,0.24999750002499976,0.24999750002499976,0.0,0.0,0.333330000033333,0.333330000033333,0.0,0.0,0.0,0.1666650000166665
Dialister_invisus,0.111110000011111,0.111110000011111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parabacteroides_goldsteinii,0.22222111111666662,0.22222111111666662,0.0,0.0,0.0,0.333330000033333,0.333330000033333,0.333330000033333,0.0,-0.39999800000999997,0.1666650000166665,0.0
Bacteroides_finegoldii,0.0,0.0,-0.24999750002499976,0.0,0.333330000033333,0.333330000033333,-0.333330000033333,-0.333330000033333,0.0,0.0,0.0,0.0
Veillonella_dispar,-0.111110000011111,-0.111110000011111,0.24999750002499976,0.24999750002499976,0.0,0.0,0.0,0.0,-0.19999800001999982,-0.19999800001999982,-0.1666650000166665,0.0
Alistipes_inops,0.05555527777916665,0.05555527777916665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666650000166665,-0.1666650000166665
Desulfovibrionaceae_bacterium,0.22222111111666662,0.22222111111666662,-0.24999750002499976,-0.24999750002499976,0.0,0.0,0.0,0.0,0.19999800001999982,0.19999800001999982,0.0,0.0
Clostridium_spiroforme,0.0,0.0,0.0,0.0,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,0.1666650000166665,0.0
Bacteroides_clarus,0.0,0.0,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,-0.39999800000999997,-0.39999800000999997,-0.1666650000166665,-0.1666650000166665
Hungatella_hathewayi,0.111110000011111,0.111110000011111,0.49999750001249993,0.49999750001249993,0.0,0.0,0.6666633333499998,0.6666633333499998,0.0,0.0,0.0,0.0
Clostridium_aldenense,0.22222111111666662,0.22222111111666662,0.0,0.0,0.0,0.0,0.0,0.0,0.19999800001999982,0.0,0.1666650000166665,0.1666650000166665
Roseburia_sp_CAG_182,0.111110000011111,0.111110000011111,-0.24999750002499976,-0.24999750002499976,0.0,0.0,0.0,0.0,0.19999800001999982,0.19999800001999982,-0.1666650000166665,-0.1666650000166665
