Taxon,age_association_controls,CRC,CVD,NAFLD_FLD,Parkinsons,Polyps,T2D
Ruminococcus_gnavus,0.11111055555833331,0.0,0.49999750001249993,0.0,0.333330000033333,0.0,0.3333316666749999
Streptococcus_mutans,0.27777722222333334,0.0,0.24999750002499976,-0.333330000033333,0.6666633333499998,-0.19999800001999982,0.0
Bifidobacterium_catenulatum,-0.027777638889583324,-0.22222111111666662,0.0,0.0,0.333330000033333,0.0,0.0
Eisenbergiella_tayi,-0.0555550000055555,0.111110000011111,0.24999750002499976,0.0,0.0,0.0,0.1666650000166665
Erysipelatoclostridium_ramosum,0.16666611111296295,0.111110000011111,0.24999750002499976,0.0,-0.333330000033333,0.0,0.4999983333388889
Eisenbergiella_massiliensis,-0.11111055555833331,0.111110000011111,0.0,0.0,0.0,-0.19999800001999982,0.0
Streptococcus_sp_A12,0.0,-0.111110000011111,0.24999750002499976,0.0,0.0,0.0,-0.1666650000166665
Dielma_fastidiosa,0.027777638889583324,0.111110000011111,0.0,0.0,0.0,0.0,0.1666650000166665
Streptococcus_sanguinis,0.0555550000055555,0.111110000011111,0.0,0.333330000033333,0.0,0.0,0.0
Megasphaera_elsdenii,0.027777638889583324,0.0,0.24999750002499976,0.0,0.333330000033333,0.0,0.1666650000166665
Streptococcus_anginosus_group,0.16666611111296295,0.111110000011111,0.24999750002499976,0.0,0.0,0.0,0.1666650000166665
Rothia_mucilaginosa,0.11111055555833331,0.111110000011111,0.49999750001249993,0.333330000033333,0.0,0.0,0.0
Escherichia_coli,0.07407382716131686,0.0,0.49999750001249993,0.0,-0.333330000033333,0.0,0.1666650000166665
Clostridium_lavalense,0.0,0.0,0.0,0.0,0.0,0.0,0.3333316666749999
Streptococcus_mitis,0.0555550000055555,0.111110000011111,0.49999750001249993,0.0,0.0,0.0,0.1666650000166665
Streptococcus_oralis,0.018518456790329218,0.3333322222259259,0.49999750001249993,0.0,-0.333330000033333,0.0,0.1666650000166665
Blautia_sp_CAG_257,0.0,0.111110000011111,0.24999750002499976,0.0,0.0,0.19999800001999982,0.4999983333388889
Actinomyces_sp_HMSC035G02,0.0,0.111110000011111,0.24999750002499976,0.0,0.0,0.0,0.0
Clostridium_innocuum,0.0,0.22222111111666662,0.24999750002499976,0.0,0.0,0.0,0.0
Streptococcus_vestibularis,0.07407382716131686,0.0,0.49999750001249993,0.0,0.0,0.0,0.3333316666749999
Streptococcus_gordonii,0.3333327777787037,0.0,0.24999750002499976,0.0,0.0,0.0,0.0
Clostridium_bolteae_CAG_59,0.0,0.111110000011111,0.24999750002499976,0.0,0.0,0.19999800001999982,0.0
Bifidobacterium_dentium,0.16666611111296295,0.111110000011111,0.49999750001249993,0.0,0.0,0.0,0.0
